Year,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,IBB,RAR,WAR,Awards
1989,19,127,506,455,61,120,23,0,16,61,16,7,44,83,0.264,0.329,0.42,0.748,108,191,4,2,8,32,3.3,RoY-3
1990,20,155,666,597,91,179,28,7,22,80,16,11,63,81,0.3,0.366,0.481,0.847,136,287,12,2,12,52,5.2,ASMVP-19GG
1991,21,154,633,548,76,179,42,1,22,100,18,6,71,82,0.327,0.399,0.527,0.926,155,289,10,1,21,70,7.1,ASMVP-9GGSS
1992,22,142,617,565,83,174,39,4,27,103,10,5,44,67,0.308,0.361,0.535,0.896,149,302,15,5,15,57,5.8,ASMVP-17GG
1993,23,156,691,582,113,180,38,3,45,109,17,9,96,91,0.309,0.408,0.617,1.025,171,359,14,6,25,91,8.8,ASMVP-5GGSS
1994,24,111,493,433,94,140,24,4,40,90,11,3,56,73,0.323,0.402,0.674,1.076,171,292,9,2,19,76,6.9,ASMVP-2GGSS
1995,25,72,314,260,52,67,7,0,17,42,4,2,52,53,0.258,0.379,0.481,0.86,122,125,4,0,6,34,3.3,ASGG
1996,26,140,638,545,125,165,26,2,49,140,16,1,78,104,0.303,0.392,0.628,1.02,154,342,7,7,13,104,9.7,ASMVP-4GGSS
1997,27,157,704,608,125,185,34,3,56,147,15,4,76,121,0.304,0.382,0.646,1.028,165,393,12,8,23,95,9.1,ASMVP-1GGSS
1998,28,161,720,633,120,180,33,3,56,146,20,5,76,121,0.284,0.365,0.611,0.977,150,387,14,7,11,70,6.6,ASMVP-4GGSS
1999,29,160,706,606,123,173,26,3,48,134,24,7,91,108,0.285,0.384,0.576,0.96,139,349,8,7,17,53,4.9,ASMVP-10GGSS
2000,30,145,631,520,100,141,22,3,40,118,6,4,94,117,0.271,0.387,0.556,0.942,133,289,7,9,17,60,5.5,AS
2001,31,111,417,364,57,104,20,2,22,65,2,0,44,72,0.286,0.365,0.533,0.898,124,194,8,4,6,21,1.9,
2002,32,70,232,197,17,52,8,0,8,23,1,2,28,39,0.264,0.358,0.426,0.784,103,84,6,3,6,-6,-0.7,
2003,33,53,201,166,34,41,12,1,13,26,1,0,27,44,0.247,0.37,0.566,0.936,145,94,3,6,5,13,1.2,
2004,34,83,348,300,49,76,18,0,20,60,1,0,44,67,0.253,0.351,0.513,0.864,123,154,8,2,3,7,0.6,AS
2005,35,128,555,491,85,148,30,0,35,92,0,1,54,93,0.301,0.369,0.576,0.946,144,283,9,3,3,39,3.7,MVP-24
2006,36,109,472,428,62,108,19,0,27,72,0,0,39,78,0.252,0.316,0.486,0.802,99,208,13,2,6,0,-0.1,
2007,37,144,623,528,78,146,24,1,30,93,6,1,85,99,0.277,0.372,0.496,0.869,119,262,14,1,14,8,0.7,AS
2008,38,143,575,490,67,122,30,1,18,71,0,1,78,89,0.249,0.353,0.424,0.778,102,208,13,3,14,3,0.2,
2009,39,117,454,387,44,83,19,0,19,57,0,0,63,80,0.214,0.324,0.411,0.735,97,159,6,1,2,6,0.6,
2010,40,33,108,98,6,18,2,0,0,7,0,0,9,17,0.184,0.25,0.204,0.454,30,20,3,0,0,-7,-0.8,
162 Game Avg.,,162,686,594,101,169,32,2,38,111,11,4,80,108,0.284,0.37,0.538,0.907,136,320,12,5,15,40,3.8,
