Year,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,HBP,RAR,WAR,Awards
1915,19,18,61,57,5,14,2,0,0,4,0,2,2,6,0.246,0.271,0.281,0.552,66,16,0,-3,-0.4,
1916,20,139,550,495,63,155,17,15,6,65,17,,40,63,0.313,0.369,0.444,0.814,151,220,4,42,4.9,
1917,21,145,589,523,86,171,24,17,8,66,17,,45,34,0.327,0.385,0.484,0.868,169,253,4,85,9.9,
1918,22,115,466,416,51,117,19,11,5,60,8,,40,43,0.281,0.349,0.416,0.764,137,173,3,48,5.4,
1919,23,138,577,512,68,163,15,9,8,71,17,,48,41,0.318,0.384,0.43,0.814,150,220,7,59,6.7,
1920,24,149,660,589,96,218,44,20,9,94,12,15,60,50,0.37,0.431,0.559,0.99,185,329,3,88,9.6,
1921,25,154,674,592,131,235,44,18,21,126,13,13,60,48,0.397,0.458,0.639,1.097,191,378,7,109,10.8,
1922,26,154,704,623,141,250,46,14,42,152,17,12,65,50,0.401,0.459,0.722,1.181,207,450,1,108,10,
1923,27,107,487,424,89,163,32,10,17,83,3,7,55,29,0.384,0.459,0.627,1.086,188,266,3,70,6.7,
1924,28,143,642,536,121,227,43,14,25,94,5,12,89,32,0.424,0.507,0.696,1.203,222,373,2,125,12.2,MVP-2
1925,29,138,606,504,133,203,41,10,39,143,5,3,83,39,0.403,0.489,0.756,1.245,210,381,2,112,10.2,MVP-1
1926,30,134,604,527,96,167,34,5,11,93,3,,61,39,0.317,0.388,0.463,0.851,124,244,0,44,4.4,MVP-18
1927,31,155,684,568,133,205,32,9,26,125,9,,86,38,0.361,0.448,0.586,1.035,175,333,4,102,10.2,MVP-3
1928,32,140,621,486,99,188,42,7,21,94,5,,107,41,0.387,0.498,0.632,1.13,202,307,1,94,9,MVP-13
1929,33,156,712,602,156,229,47,8,39,149,2,,87,65,0.38,0.459,0.679,1.139,178,409,1,116,10.4,MVP-1
1930,34,42,120,104,15,32,5,1,2,18,0,,12,12,0.308,0.385,0.433,0.817,96,45,1,4,0.3,
1931,35,100,419,357,64,118,37,1,16,90,1,,56,23,0.331,0.421,0.574,0.996,163,205,0,52,5.2,
1932,36,19,70,58,10,13,2,0,1,7,0,,10,4,0.224,0.357,0.31,0.667,81,18,2,0,0,
1933,37,46,97,83,9,27,6,0,2,21,1,,12,6,0.325,0.423,0.47,0.893,148,39,2,2,0.2,
1933,37,11,11,9,2,3,1,0,1,2,0,0,2,1,0.333,0.455,0.778,1.232,215,7,0,9,0.9,
1934,38,24,31,23,2,7,2,0,1,11,0,0,7,4,0.304,0.484,0.522,1.006,152,12,1,4,0.4,
1935,39,10,27,24,1,5,3,0,0,3,0,0,3,6,0.208,0.296,0.333,0.63,61,8,0,-1,-0.1,
1936,40,2,6,5,1,2,0,0,0,2,0,0,1,0,0.4,0.5,0.4,0.9,123,2,0,1,0.1,
1937,41,20,63,56,7,18,3,0,1,11,0,0,7,5,0.321,0.397,0.429,0.825,108,24,0,1,0.1,
162 Game Avg.,,162,680,586,113,210,39,12,22,114,10,,74,49,0.358,0.434,0.577,1.01,175,338,3,53,5.3,
