Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1986,21,PIT,NL,113,484,3,4,0,8,1,17,1.8,16,34,3.5,.517,.512,2.6,1.0,25,$60000,*8/H,RoY-6
1987,22,PIT,NL,150,611,11,3,1,24,-3,36,3.7,21,57,5.8,.525,.523,3.2,2.1,33,$100000,*78H/9,
1988,23,PIT,NL,144,614,31,1,1,8,-5,37,4.1,21,58,6.3,.529,.526,5.3,0.4,49,$220000,*7H/8,
1989,24,PIT,NL,159,679,16,5,0,37,-5,52,5.8,22,74,8.0,.538,.537,3.7,3.6,37,$360000,*7/H,
1990,25,PIT,NL,151,621,46,3,0,28,-5,72,7.8,20,92,9.7,.551,.548,6.5,2.5,64,$850000,*7/H8,ASMVP-1GGSS
1991,26,PIT,NL,153,634,36,4,1,19,-5,55,5.9,20,75,8.0,.539,.537,5.8,1.5,57,$2300000,*7/H8,MVP-2GGSS
1992,27,PIT,NL,140,612,61,4,1,6,-5,65,7.3,18,83,9.0,.552,.545,8.3,0.0,78,$4800000,*7/H,ASMVP-1GGSS
1993,28,SFG,NL,159,674,73,2,0,9,-6,78,7.9,21,99,9.9,.550,.549,8.8,0.4,90,$4516666,*7/H,ASMVP-1GGSS
1994,29,SFG,NL,112,474,45,2,1,5,-4,49,4.8,15,64,6.2,.543,.530,5.7,0.1,59,$5166666,*7/H,ASMVP-4GGSS
1995,30,SFG,NL,144,635,50,1,-1,12,-5,58,5.7,19,77,7.5,.540,.535,6.2,0.7,64,$8166666,*7/H,ASMVP-12
1996,31,SFG,NL,158,675,70,8,0,10,-6,82,7.6,21,103,9.7,.551,.549,8.9,0.3,93,$8416667,*7/H8,ASMVP-5GGSS
1997,32,SFG,NL,159,690,55,1,-1,14,-6,64,6.1,21,85,8.2,.540,.539,6.9,0.7,71,$8666667,*7,ASMVP-5GGSS
1998,33,SFG,NL,156,697,59,-1,0,10,-6,63,6.0,21,84,8.1,.540,.539,7.2,0.3,74,$8916667,*7/H,ASMVP-8GG
1999,34,SFG,NL,102,434,31,3,2,-4,-4,28,2.5,14,42,3.8,.526,.516,4.2,-0.8,45,$9381057,7/DH,MVP-24
2000,35,SFG,NL,143,607,62,3,0,5,-5,65,5.9,19,84,7.7,.543,.538,7.3,-0.1,79,$10658826,*7/H,ASMVP-2SS
2001,36,SFG,NL,153,664,116,1,1,-5,-6,106,9.9,20,127,11.9,.566,.562,12.4,-1.2,131,$10300000,*7/DH,ASMVP-1SS
2002,37,SFG,NL,143,612,109,-2,0,0,-5,102,9.9,19,121,11.7,.570,.562,11.8,-0.6,121,$15000000,*7/DH,ASMVP-1SS
2003,38,SFG,NL,130,550,77,1,0,5,-5,78,7.5,17,95,9.2,.559,.547,8.7,-0.1,90,$15500000,*7/DH,ASMVP-1SS
2004,39,SFG,NL,147,617,106,0,1,-8,-6,93,8.8,19,112,10.6,.561,.555,11.5,-1.5,120,$18000000,*7/HD,ASMVP-1SS
2005,40,SFG,NL,14,52,4,0,0,1,0,4,0.4,2,6,0.6,.531,.503,0.5,0.1,5,$22000000,7/H,
2006,41,SFG,NL,130,493,30,1,0,1,-4,27,2.5,15,42,4.0,.520,.516,3.9,-0.4,41,$19331470,*7H/D,
2007,42,SFG,NL,126,477,37,-1,-1,-10,-4,21,2.0,15,36,3.4,.516,.513,4.4,-1.5,46,$15533970,*7H/D,AS
22 Seasons,22 Seasons,22 Seasons,,2986,12606,1129,43,6,175,-101,1251,123.8,395,1646,162.8,.542,.538,143.6,7.6,1471,$188245322,,
SFG (15 yrs),SFG (15 yrs),SFG (15 yrs),,1976,8351,924,18,2,46,-73,918,87.4,257,1175,112.5,.545,.540,108.2,-3.6,1129,$179555322,,
PIT (7 yrs),PIT (7 yrs),PIT (7 yrs),,1010,4255,204,25,4,129,-28,334,36.4,138,472,50.3,.537,.533,35.4,11.2,343,$8690000,,
