Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1989,19,SEA,AL,127,506,6,0,2,3,2,13,1.6,18,32,3.3,.511,.509,2.9,0.6,28,$68000,*8/H,RoY-3
1990,20,SEA,AL,155,666,23,-1,1,2,3,28,2.9,24,52,5.2,.519,.518,5.2,0.5,49,$180000,*8/HD,ASMVP-19GG
1991,21,SEA,AL,154,633,34,2,1,7,3,48,5.0,23,70,7.1,.532,.530,6.5,1.0,63,$700000,*8/HD,ASMVP-9GGSS
1992,22,SEA,AL,142,617,32,2,0,-4,3,34,3.7,23,57,5.8,.525,.522,6.2,-0.1,61,$2025000,*8/DH,ASMVP-17GG
1993,23,SEA,AL,156,691,52,4,0,8,2,66,6.4,25,91,8.8,.541,.540,8.2,0.9,83,$4150000,*8D/3,ASMVP-5GGSS
1994,24,SEA,AL,111,493,43,2,0,11,2,57,5.3,18,76,6.9,.547,.532,5.9,1.2,64,$5100000,*8/D9,ASMVP-2GGSS
1995,25,SEA,AL,72,314,8,-1,0,14,2,23,2.2,12,34,3.3,.530,.513,2.0,1.5,20,$7600000,8/D,ASGG
1996,26,SEA,AL,140,638,40,3,3,32,3,81,7.6,23,104,9.7,.552,.545,6.6,3.4,72,$7650000,*8/D,ASMVP-4GGSS
1997,27,SEA,AL,157,704,49,3,-1,15,3,69,6.7,26,95,9.1,.542,.541,7.6,1.9,80,$7885532,*8/D7,ASMVP-1GGSS
1998,28,SEA,AL,161,720,40,3,1,-3,3,44,4.2,26,70,6.6,.526,.525,6.9,0.1,73,$8153667,*8/D379,ASMVP-4GGSS
1999,29,SEA,AL,160,706,30,5,2,-13,3,27,2.5,26,53,4.9,.515,.515,6.2,-0.9,66,$8760532,*8/D,ASMVP-10GGSS
2000,30,CIN,NL,145,631,22,0,3,11,3,40,3.6,20,60,5.5,.526,.524,4.5,1.3,49,$9329700,*8/H,AS
2001,31,CIN,NL,111,417,15,1,0,-10,2,8,0.7,13,21,1.9,.507,.505,3.0,-0.9,31,$12500000,8H/D,
2002,32,CIN,NL,70,232,-2,-2,-1,-10,1,-14,-1.4,7,-6,-0.7,.480,.491,0.3,-1.0,4,$8557223,8H/79,
2003,33,CIN,NL,53,201,10,2,0,-6,1,7,0.6,6,13,1.2,.513,.504,1.9,-0.6,19,$12500000,8/HD,
2004,34,CIN,NL,83,348,10,-1,0,-13,2,-4,-0.4,11,7,0.6,.496,.498,2.0,-1.2,20,$12500000,8/HD9,AS
2005,35,CIN,NL,128,555,31,-2,0,-11,3,21,2.0,17,39,3.7,.517,.513,4.9,-0.9,50,$12500000,*8/DH,MVP-24
2006,36,CIN,NL,109,472,-4,1,0,-14,2,-15,-1.5,15,0,-0.1,.487,.491,1.3,-1.2,14,$10464686,8/HD,
2007,37,CIN,NL,144,623,11,-1,-1,-14,-5,-11,-1.2,19,8,0.7,.492,.493,2.1,-2.0,22,$8446647,*9/HD,AS
2008,38,CIN,NL,102,425,-1,-2,0,-5,-4,-12,-1.3,13,2,0.0,.489,.493,0.5,-1.0,7,$8282695,9/DH,
2008,38,CHW,AL,41,150,-2,-1,-1,2,0,-1,-0.1,6,4,0.4,.497,.499,0.2,0.3,2,,8/DH9,
2009,39,SEA,AL,117,454,1,-3,0,0,-9,-11,-1.0,17,6,0.6,.491,.493,0.6,-0.9,6,$2000000,DH/79,
2010,40,SEA,AL,33,108,-9,0,0,0,-2,-11,-1.2,4,-7,-0.8,.464,.493,-0.8,-0.2,-7,$2350000,D/H,
22 Seasons,22 Seasons,22 Seasons,,2671,11304,440,16,9,3,21,489,46.8,391,881,83.8,.517,.516,84.6,2.2,877,$151703682,,
SEA (13 yrs),SEA (13 yrs),SEA (13 yrs),,1685,7250,350,20,9,73,16,468,45.8,264,732,70.6,.527,.524,64.0,9.2,660,$56622731,,
CIN (9 yrs),CIN (9 yrs),CIN (9 yrs),,945,3904,92,-4,1,-72,4,22,1.1,122,144,12.8,.502,.503,20.4,-7.3,215,$95080951,,
CHW (1 yr),CHW (1 yr),CHW (1 yr),,41,150,-2,-1,-1,2,0,-1,-0.1,6,4,0.4,.497,.499,0.2,0.3,2,,,
