Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1989,19,SEA,AL,127,506,455,61,120,23,0,16,61,16,7,44,83,.264,.329,.420,.748,108,191,4,2,1,4,8,*8/H,RoY-3
1990,20,SEA,AL,155,666,597,91,179,28,7,22,80,16,11,63,81,.300,.366,.481,.847,136,287,12,2,0,4,12,*8/HD,ASMVP-19GG
1991,21,SEA,AL,154,633,548,76,179,42,1,22,100,18,6,71,82,.327,.399,.527,.926,155,289,10,1,4,9,21,*8/HD,ASMVP-9GGSS
1992,22,SEA,AL,142,617,565,83,174,39,4,27,103,10,5,44,67,.308,.361,.535,.896,149,302,15,5,0,3,15,*8/DH,ASMVP-17GG
1993,23,SEA,AL,156,691,582,113,180,38,3,45,109,17,9,96,91,.309,.408,.617,1.025,171,359,14,6,0,7,25,*8D/3,ASMVP-5GGSS
1994,24,SEA,AL,111,493,433,94,140,24,4,40,90,11,3,56,73,.323,.402,.674,1.076,171,292,9,2,0,2,19,*8/D9,ASMVP-2GGSS
1995,25,SEA,AL,72,314,260,52,67,7,0,17,42,4,2,52,53,.258,.379,.481,.860,122,125,4,0,0,2,6,8/D,ASGG
1996,26,SEA,AL,140,638,545,125,165,26,2,49,140,16,1,78,104,.303,.392,.628,1.020,154,342,7,7,1,7,13,*8/D,ASMVP-4GGSS
1997,27,SEA,AL,157,704,608,125,185,34,3,56,147,15,4,76,121,.304,.382,.646,1.028,165,393,12,8,0,12,23,*8/D7,ASMVP-1GGSS
1998,28,SEA,AL,161,720,633,120,180,33,3,56,146,20,5,76,121,.284,.365,.611,.977,150,387,14,7,0,4,11,*8/D379,ASMVP-4GGSS
1999,29,SEA,AL,160,706,606,123,173,26,3,48,134,24,7,91,108,.285,.384,.576,.960,139,349,8,7,0,2,17,*8/D,ASMVP-10GGSS
2000,30,CIN,NL,145,631,520,100,141,22,3,40,118,6,4,94,117,.271,.387,.556,.942,133,289,7,9,0,8,17,*8/H,AS
2001,31,CIN,NL,111,417,364,57,104,20,2,22,65,2,0,44,72,.286,.365,.533,.898,124,194,8,4,1,4,6,8H/D,
2002,32,CIN,NL,70,232,197,17,52,8,0,8,23,1,2,28,39,.264,.358,.426,.784,103,84,6,3,0,4,6,8H/79,
2003,33,CIN,NL,53,201,166,34,41,12,1,13,26,1,0,27,44,.247,.370,.566,.936,145,94,3,6,1,1,5,8/HD,
2004,34,CIN,NL,83,348,300,49,76,18,0,20,60,1,0,44,67,.253,.351,.513,.864,123,154,8,2,0,2,3,8/HD9,AS
2005,35,CIN,NL,128,555,491,85,148,30,0,35,92,0,1,54,93,.301,.369,.576,.946,144,283,9,3,0,7,3,*8/DH,MVP-24
2006,36,CIN,NL,109,472,428,62,108,19,0,27,72,0,0,39,78,.252,.316,.486,.802,99,208,13,2,0,3,6,8/HD,
2007,37,CIN,NL,144,623,528,78,146,24,1,30,93,6,1,85,99,.277,.372,.496,.869,119,262,14,1,0,9,14,*9/HD,AS
2008,38,TOT,MLB,143,575,490,67,122,30,1,18,71,0,1,78,89,.249,.353,.424,.778,102,208,13,3,0,4,14,*98D/H,
2008,38,CIN,NL,102,425,359,51,88,20,1,15,53,0,1,61,64,.245,.355,.432,.787,104,155,7,2,0,3,13,9/DH,
2008,38,CHW,AL,41,150,131,16,34,10,0,3,18,0,0,17,25,.260,.347,.405,.751,96,53,6,1,0,1,1,8/DH9,
2009,39,SEA,AL,117,454,387,44,83,19,0,19,57,0,0,63,80,.214,.324,.411,.735,97,159,6,1,0,3,2,DH/79,
2010,40,SEA,AL,33,108,98,6,18,2,0,0,7,0,0,9,17,.184,.250,.204,.454,30,20,3,0,0,1,0,D/H,
22 Yrs,22 Yrs,22 Yrs,22 Yrs,2671,11304,9801,1662,2781,524,38,630,1836,184,69,1312,1779,.284,.370,.538,.907,136,5271,199,81,8,102,246,,
162 Game Avg.\bat_glossary.shtml#162_avg,162 Game Avg.\bat_glossary.shtml#162_avg,162 Game Avg.\bat_glossary.shtml#162_avg,162 Game Avg.\bat_glossary.shtml#162_avg,162,686,594,101,169,32,2,38,111,11,4,80,108,.284,.370,.538,.907,136,320,12,5,0,6,15,,
SEA (13 yrs),SEA (13 yrs),SEA (13 yrs),SEA (13 yrs),1685,7250,6317,1113,1843,341,30,417,1216,167,60,819,1081,.292,.374,.553,.927,144,3495,118,48,6,60,172,,
CIN (9 yrs),CIN (9 yrs),CIN (9 yrs),CIN (9 yrs),945,3904,3353,533,904,173,8,210,602,17,9,476,673,.270,.362,.514,.876,122,1723,75,32,2,41,73,,
CHW (1 yr),CHW (1 yr),CHW (1 yr),CHW (1 yr),41,150,131,16,34,10,0,3,18,0,0,17,25,.260,.347,.405,.751,96,53,6,1,0,1,1,,
