Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1915,19,STL,NL,18,61,-2,-1,0,-3,1,-5,-0.6,2,-3,-0.4,.468,.496,0.0,-0.2,0,$1200,6,
1916,20,STL,NL,139,550,27,-1,0,-6,6,25,3.1,17,42,4.9,.522,.519,5.6,-0.1,48,$2000,563/H4,
1917,21,STL,NL,145,588,40,-1,0,18,10,67,8.1,18,85,9.9,.556,.550,7.7,3.5,67,$3000,*6/H,
1918,22,STL,NL,115,466,17,-1,0,10,7,33,3.9,14,48,5.4,.535,.525,4.2,2.1,37,$4000,*6/H98,
1919,23,STL,NL,138,577,30,-1,0,8,5,42,4.8,18,59,6.7,.536,.531,5.8,1.5,51,$4000,564/3,
1920,24,STL,NL,149,660,60,-1,0,6,3,68,7.4,19,88,9.6,.551,.547,9.0,1.0,81,$5000,*4,
1921,25,STL,NL,154,674,76,-1,0,10,3,89,8.7,20,109,10.8,.557,.554,9.9,1.3,99,$11000,*4/7563,
1922,26,STL,NL,154,704,95,0,0,-13,5,87,8.0,21,108,10.0,.552,.549,11.2,-0.7,121,$18500,*4,
1923,27,STL,NL,107,487,54,-1,0,1,2,56,5.3,14,70,6.7,.550,.533,6.6,0.3,69,$18500,43/H,
1924,28,STL,NL,143,642,96,-2,0,7,5,106,10.2,19,125,12.2,.572,.564,11.6,1.1,118,,*4,MVP-2
1925,29,STL,NL,138,606,88,1,0,0,5,94,8.4,18,112,10.2,.561,.552,10.3,0.4,112,$33333,*4/H,MVP-1
1926,30,STL,NL,134,604,19,-1,0,3,5,26,2.6,18,44,4.4,.520,.516,4.1,0.7,41,$33333,*4,MVP-18
1927,31,NYG,NL,155,684,64,0,0,12,5,82,8.0,21,102,10.2,.552,.550,9.0,1.8,90,$36500,*4,MVP-3
1928,32,BSN,NL,140,621,80,1,0,-11,5,75,7.1,19,94,9.0,.551,.544,10.2,-0.7,105,$40000,*4,MVP-13
1929,33,CHC,NL,156,712,77,1,0,12,5,95,8.3,21,116,10.4,.554,.552,9.4,1.6,104,$40000,*4,MVP-1
1930,34,CHC,NL,42,120,0,0,0,-1,1,0,0.0,4,4,0.3,.500,.500,0.4,0.0,5,$40000,4H,
1931,35,CHC,NL,100,419,33,-1,0,3,3,39,3.8,13,52,5.2,.539,.524,5.0,0.6,49,$40000,45/H,
1932,36,CHC,NL,19,70,-1,-1,0,0,0,-2,-0.2,2,0,0.0,.489,.499,0.0,0.0,0,$40000,9/5H,
1933,37,STL,NL,46,97,6,0,-1,0,1,6,0.6,3,9,0.9,.513,.504,1.0,0.0,8,$15000,H4,
1933,37,SLB,AL,11,11,1,0,0,0,0,2,0.2,0,2,0.2,.515,.501,0.2,0.0,2,,H,
1934,38,SLB,AL,24,31,2,0,0,0,0,3,0.2,1,4,0.4,.510,.501,0.4,0.0,4,$15000,H/59,
1935,39,SLB,AL,10,27,-2,0,0,0,0,-2,-0.2,1,-1,-0.1,.483,.499,-0.1,0.0,-1,$15000,/H345,
1936,40,SLB,AL,2,6,0,0,0,0,0,0,0.0,0,1,0.1,.515,.500,0.1,0.0,1,$18000,/3H,
1937,41,SLB,AL,20,63,1,-1,0,-2,1,-1,-0.1,2,1,0.1,.494,.499,0.3,-0.1,3,$18333,4/H,
23 Seasons,23 Seasons,23 Seasons,,2259,9480,861,-8,0,54,75,982,97.6,286,1268,127.1,.544,.538,121.9,13.9,1214,$451699,,
STL (13 yrs),STL (13 yrs),STL (13 yrs),,1580,6716,605,-9,-1,41,56,693,70.4,202,895,91.4,.545,.539,87.0,10.9,854,$148866,,
SLB (5 yrs),SLB (5 yrs),SLB (5 yrs),,67,138,4,-1,1,-2,0,1,0.1,5,6,0.6,.502,.500,0.8,-0.1,8,$66333,,
CHC (4 yrs),CHC (4 yrs),CHC (4 yrs),,317,1321,109,0,0,14,9,131,11.9,40,171,16.0,.538,.533,14.9,2.1,157,$160000,,
NYG (1 yr),NYG (1 yr),NYG (1 yr),,155,684,64,0,0,12,5,82,8.0,21,102,10.2,.552,.550,9.0,1.8,90,$36500,,
BSN (1 yr),BSN (1 yr),BSN (1 yr),,140,621,80,1,0,-11,5,75,7.1,19,94,9.0,.551,.544,10.2,-0.7,105,$40000,,
