Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1939,20,BOS,AL,149,677,565,131,185,44,11,31,145,2,1,107,64,.327,.436,.609,1.045,160,344,10,2,3,,,*9,MVP-4
1940,21,BOS,AL,144,661,561,134,193,43,14,23,113,4,4,96,54,.344,.442,.594,1.036,162,333,13,3,1,,,*79/1H,ASMVP-14
1941,22,BOS,AL,143,606,456,135,185,33,3,37,120,2,4,147,27,.406,.553,.735,1.287,235,335,10,3,0,,25,*7H/9,ASMVP-2
1942,23,BOS,AL,150,671,522,141,186,34,5,36,137,3,2,145,51,.356,.499,.648,1.147,216,338,12,4,0,,20,*7/9,ASMVP-2
1943,,,Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service)
1944,,,Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service)
1945,,,Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service)
1946,27,BOS,AL,150,672,514,142,176,37,8,38,123,0,0,156,44,.342,.497,.667,1.164,215,343,12,2,0,,29,*7,ASMVP-1
1947,28,BOS,AL,156,693,528,125,181,40,9,32,114,0,1,162,47,.343,.499,.634,1.133,205,335,10,2,1,,29,*7,ASMVP-2
1948,29,BOS,AL,137,638,509,124,188,44,3,25,127,4,0,126,41,.369,.497,.615,1.112,189,313,10,3,0,,14,*7/H,ASMVP-3
